Final Groups,Rank,Name,Viewer engagement level,Humour,Respectfulness,Enthusiasm,Streaming format,Streaming frequency,Age
A,20,Arteezy,1310,6000,9000,6000,3000,6000,4667
A,25,Thebausffs,1992,6000,9000,6000,3000,6000,3667
A,38,Kyedae,2347,6000,9000,9000,3000,6000,3000
B,11,Jinnytty,2444,6000,9000,9000,3000,9000,6000
B,24,forsen,1135,6000,9000,9000,3000,9000,6667
B,37,moistcr1tikal,2602,6000,3000,3000,3000,9000,5333
B,42,AdmiralBahroo,2035,6000,9000,9000,3000,9000,6000
C,13,TenZ,2218,3000,9000,3000,3000,6000,3000
C,14,sodapoppin,2820,9000,9000,9000,3000,6000,5333
C,17,TSM_ImperialHal,2151,3000,9000,9000,3000,6000,3667
C,41,Nikolarn,2023,9000,9000,9000,3000,6000,5333
C,48,Emiru,2180,9000,6000,9000,3000,3000,4000
D,2,tarik,3719,6000,9000,6000,3000,9000,4667
D,4,HasanAbi,6085,3000,9000,3000,3000,9000,6333
D,9,Maximum,3708,6000,9000,3000,3000,9000,5667
D,21,Gorgc,3094,6000,9000,6000,3000,9000,5667
D,23,hJune,3220,6000,9000,6000,3000,3000,4333
D,30,CohhCarnage,3845,3000,9000,3000,3000,9000,8667
D,31,Maximilian_DOOD,4677,6000,9000,3000,3000,9000,9000
D,33,Fextralife,4069,3000,9000,3000,3000,9000,5000
D,44,LVNDMARK,3421,6000,9000,3000,3000,9000,5333
E,5,summit1g,3407,6000,9000,9000,9000,9000,7667
E,6,scump,4669,6000,9000,9000,9000,6000,5000
E,16,NICKMERCS,4087,9000,6000,9000,9000,6000,6667
E,18,Mizkif,4986,9000,6000,9000,9000,6000,5000
E,19,yourragegaming,4149,9000,9000,9000,9000,6000,4333
E,26,buddha,3536,6000,9000,9000,9000,6000,5333
E,39,shroud,3637,6000,9000,3000,9000,6000,5333
E,40,QuickyBaby,4776,6000,9000,3000,3000,6000,7667
E,46,Fanum,3555,6000,3000,3000,3000,6000,4333
F,1,xQc,3932,9000,3000,9000,3000,9000,5000
F,7,Caedrel,4470,9000,9000,9000,3000,9000,4667
F,8,zackrawrr,3562,9000,6000,9000,3000,9000,6667
F,10,LIRIK,4141,9000,6000,3000,3000,9000,6667
F,12,loltyler1,2964,9000,3000,9000,3000,9000,5000
F,15,MOONMOON,2483,9000,9000,9000,3000,9000,6667
F,27,Quin69,5047,9000,3000,9000,3000,9000,6667
F,28,Elajjaz,3368,9000,3000,9000,3000,9000,6000
F,29,Clix,5495,9000,6000,9000,9000,9000,1667
F,32,Xaryu,5296,9000,9000,9000,3000,9000,5667
F,36,Foolish_Gamers,5377,9000,9000,9000,9000,9000,4000
F,43,Tectone,5841,9000,3000,9000,3000,9000,5667
G,34,Nmplol,5566,9000,6000,3000,3000,6000,6333
G,3,KaiCenat,7695,9000,3000,9000,3000,6000,3000
G,22,Quackity,8632,9000,9000,9000,9000,3000,3333
G,35,CoconutB,6421,9000,3000,9000,3000,6000,4000
G,45,PENTA,6704,9000,3000,9000,9000,6000,4333
G,49,CDawgVA,6203,9000,9000,9000,3000,3000,4000
G,50,PaymoneyWubby,9000,9000,3000,9000,3000,6000,5000
